Location,Reports,Status,E-mail,TV,Date/Time collected,Provider,Source,Phone,Internet,Wi-fi,Total Blackout
"Arcata, CA",20, Problems detected ,3.91%,14.96%,Thu 21 Mar 2019 19:12:30,Suddenlink,Is the service down,2.96%,61.57%,6.87%,9.74%
"Stockton, CA",19, Problems detected ,3.91%,14.96%,Thu 21 Mar 2019 19:12:30,Suddenlink,Is the service down,2.96%,61.57%,6.87%,9.74%
"Kansas City, MO",18, Problems detected ,3.91%,14.96%,Thu 21 Mar 2019 19:12:30,Suddenlink,Is the service down,2.96%,61.57%,6.87%,9.74%
"Katy, TX",18, Problems detected ,3.91%,14.96%,Thu 21 Mar 2019 19:12:30,Suddenlink,Is the service down,2.96%,61.57%,6.87%,9.74%
"Danville, CA",17, Problems detected ,3.91%,14.96%,Thu 21 Mar 2019 19:12:30,Suddenlink,Is the service down,2.96%,61.57%,6.87%,9.74%
"St. Louis, MO",17, Problems detected ,3.91%,14.96%,Thu 21 Mar 2019 19:12:30,Suddenlink,Is the service down,2.96%,61.57%,6.87%,9.74%
"Cabot, AR",17, Problems detected ,3.91%,14.96%,Thu 21 Mar 2019 19:12:30,Suddenlink,Is the service down,2.96%,61.57%,6.87%,9.74%
"Marietta, OH",17, Problems detected ,3.91%,14.96%,Thu 21 Mar 2019 19:12:30,Suddenlink,Is the service down,2.96%,61.57%,6.87%,9.74%
"Oklahoma City, OK",17, Problems detected ,3.91%,14.96%,Thu 21 Mar 2019 19:12:30,Suddenlink,Is the service down,2.96%,61.57%,6.87%,9.74%
"Bryan, TX",16, Problems detected ,3.91%,14.96%,Thu 21 Mar 2019 19:12:30,Suddenlink,Is the service down,2.96%,61.57%,6.87%,9.74%
"Atlanta, GA",16, Problems detected ,3.91%,14.96%,Thu 21 Mar 2019 19:12:30,Suddenlink,Is the service down,2.96%,61.57%,6.87%,9.74%
"Lubbock, TX",15, Problems detected ,3.91%,14.96%,Thu 21 Mar 2019 19:12:30,Suddenlink,Is the service down,2.96%,61.57%,6.87%,9.74%
"Conroe, TX",15, Problems detected ,3.91%,14.96%,Thu 21 Mar 2019 19:12:30,Suddenlink,Is the service down,2.96%,61.57%,6.87%,9.74%
"Abilene, TX",15, Problems detected ,3.91%,14.96%,Thu 21 Mar 2019 19:12:30,Suddenlink,Is the service down,2.96%,61.57%,6.87%,9.74%
"Kinston, NC",15, Problems detected ,3.91%,14.96%,Thu 21 Mar 2019 19:12:30,Suddenlink,Is the service down,2.96%,61.57%,6.87%,9.74%
"Greenville, NC",15, Problems detected ,3.91%,14.96%,Thu 21 Mar 2019 19:12:30,Suddenlink,Is the service down,2.96%,61.57%,6.87%,9.74%
"Altoona, PA",14, Problems detected ,3.91%,14.96%,Thu 21 Mar 2019 19:12:30,Suddenlink,Is the service down,2.96%,61.57%,6.87%,9.74%
"Detroit, MI",14, Problems detected ,3.91%,14.96%,Thu 21 Mar 2019 19:12:30,Suddenlink,Is the service down,2.96%,61.57%,6.87%,9.74%
"San Angelo, TX",14, Problems detected ,3.91%,14.96%,Thu 21 Mar 2019 19:12:30,Suddenlink,Is the service down,2.96%,61.57%,6.87%,9.74%
"New Bern, NC",13, Problems detected ,3.91%,14.96%,Thu 21 Mar 2019 19:12:30,Suddenlink,Is the service down,2.96%,61.57%,6.87%,9.74%
"Midland, TX",13, Problems detected ,3.91%,14.96%,Thu 21 Mar 2019 19:12:30,Suddenlink,Is the service down,2.96%,61.57%,6.87%,9.74%
"Plano, TX",13, Problems detected ,3.91%,14.96%,Thu 21 Mar 2019 19:12:30,Suddenlink,Is the service down,2.96%,61.57%,6.87%,9.74%
"Flagstaff, AZ",13, Problems detected ,3.91%,14.96%,Thu 21 Mar 2019 19:12:30,Suddenlink,Is the service down,2.96%,61.57%,6.87%,9.74%
"Concord, CA",12, Problems detected ,3.91%,14.96%,Thu 21 Mar 2019 19:12:30,Suddenlink,Is the service down,2.96%,61.57%,6.87%,9.74%
"Jonesboro, AR",12, Problems detected ,3.91%,14.96%,Thu 21 Mar 2019 19:12:30,Suddenlink,Is the service down,2.96%,61.57%,6.87%,9.74%
